Year,Month,Hour,Weekday Name,ATC_Code,Quantity_Sold
2014,1,248,Thursday,M01AB,0.0
2014,1,276,Friday,M01AB,8.0
2014,1,276,Saturday,M01AB,2.0
2014,1,276,Sunday,M01AB,4.0
2014,1,276,Monday,M01AB,5.0
2014,1,276,Tuesday,M01AB,0.0
2014,1,276,Wednesday,M01AB,5.33
2014,1,276,Thursday,M01AB,7.0
2014,1,276,Friday,M01AB,5.0
2014,1,276,Saturday,M01AB,5.0
2014,1,276,Sunday,M01AB,2.0
2014,1,276,Monday,M01AB,7.34
2014,1,276,Tuesday,M01AB,6.0
2014,1,276,Wednesday,M01AB,4.0
2014,1,276,Thursday,M01AB,6.0
2014,1,276,Friday,M01AB,2.0
2014,1,276,Saturday,M01AB,1.0
2014,1,276,Sunday,M01AB,4.33
2014,1,276,Monday,M01AB,6.0
2014,1,276,Tuesday,M01AB,2.0
2014,1,276,Wednesday,M01AB,7.0
2014,1,276,Thursday,M01AB,4.0
2014,1,276,Friday,M01AB,4.67
2014,1,276,Saturday,M01AB,6.0
2014,1,276,Sunday,M01AB,4.33
2014,1,276,Monday,M01AB,4.34
2014,1,276,Tuesday,M01AB,6.0
2014,1,276,Wednesday,M01AB,5.33
2014,1,276,Thursday,M01AB,3.02
2014,1,276,Friday,M01AB,1.0
2014,2,276,Saturday,M01AB,4.33
2014,2,276,Sunday,M01AB,7.0
2014,2,276,Monday,M01AB,5.0
2014,2,276,Tuesday,M01AB,1.33
2014,2,276,Wednesday,M01AB,3.0
2014,2,276,Thursday,M01AB,3.33
2014,2,276,Friday,M01AB,2.66
2014,2,276,Saturday,M01AB,3.33
2014,2,276,Sunday,M01AB,4.0
2014,2,276,Monday,M01AB,5.0
2014,2,276,Tuesday,M01AB,10.0
2014,2,276,Wednesday,M01AB,9.0
2014,2,276,Thursday,M01AB,4.33
2014,2,276,Friday,M01AB,4.0
2014,2,276,Saturday,M01AB,1.0
2014,2,276,Sunday,M01AB,0.0
2014,2,276,Monday,M01AB,7.34
2014,2,276,Tuesday,M01AB,7.34
2014,2,276,Wednesday,M01AB,3.33
2014,2,276,Thursday,M01AB,7.0
2014,2,276,Friday,M01AB,6.0
2014,2,276,Saturday,M01AB,7.0
2014,2,276,Sunday,M01AB,1.0
2014,2,276,Monday,M01AB,7.0
2014,2,276,Tuesday,M01AB,5.0
2014,2,276,Wednesday,M01AB,5.0
2014,2,276,Thursday,M01AB,3.0
2014,2,276,Friday,M01AB,7.0
2014,3,276,Saturday,M01AB,6.34
2014,3,276,Sunday,M01AB,3.34
2014,3,276,Monday,M01AB,4.0
2014,3,276,Tuesday,M01AB,5.34
2014,3,276,Wednesday,M01AB,3.34
2014,3,276,Thursday,M01AB,3.0
2014,3,276,Friday,M01AB,4.0
2014,3,276,Saturday,M01AB,4.34
2014,3,276,Sunday,M01AB,1.0
2014,3,276,Monday,M01AB,6.68
2014,3,276,Tuesday,M01AB,6.0
2014,3,276,Wednesday,M01AB,6.34
2014,3,276,Thursday,M01AB,2.31
2014,3,276,Friday,M01AB,4.34
2014,3,276,Saturday,M01AB,4.0
2014,3,276,Sunday,M01AB,2.68
2014,3,276,Monday,M01AB,8.68
2014,3,276,Tuesday,M01AB,8.0
2014,3,276,Wednesday,M01AB,4.0
2014,3,276,Thursday,M01AB,3.0
2014,3,276,Friday,M01AB,6.0
2014,3,276,Saturday,M01AB,3.34
2014,3,276,Sunday,M01AB,6.34
2014,3,276,Monday,M01AB,5.68
2014,3,276,Tuesday,M01AB,4.0
2014,3,276,Wednesday,M01AB,2.34
2014,3,276,Thursday,M01AB,4.0
2014,3,276,Friday,M01AB,2.67
2014,3,276,Saturday,M01AB,4.0
2014,3,276,Sunday,M01AB,3.0
2014,3,276,Monday,M01AB,5.34
2014,4,276,Tuesday,M01AB,4.34
2014,4,276,Wednesday,M01AB,2.0
2014,4,276,Thursday,M01AB,1.0
2014,4,276,Friday,M01AB,3.0
2014,4,276,Saturday,M01AB,2.0
2014,4,276,Sunday,M01AB,2.0
2014,4,276,Monday,M01AB,6.34
2014,4,276,Tuesday,M01AB,4.34
2014,4,276,Wednesday,M01AB,6.0
2014,4,276,Thursday,M01AB,3.33
2014,4,276,Friday,M01AB,6.0
2014,4,276,Saturday,M01AB,7.02
2014,4,276,Sunday,M01AB,3.0
2014,4,276,Monday,M01AB,1.34
2014,4,276,Tuesday,M01AB,4.34
2014,4,276,Wednesday,M01AB,2.0
2014,4,276,Thursday,M01AB,5.34
2014,4,276,Friday,M01AB,7.0
2014,4,276,Saturday,M01AB,7.34
2014,4,276,Sunday,M01AB,0.0
2014,4,276,Monday,M01AB,1.34
2014,4,276,Tuesday,M01AB,5.34
2014,4,276,Wednesday,M01AB,6.34
2014,4,276,Thursday,M01AB,2.0
2014,4,276,Friday,M01AB,3.0
2014,4,276,Saturday,M01AB,4.34
2014,4,276,Sunday,M01AB,4.0
2014,4,276,Monday,M01AB,1.34
2014,4,276,Tuesday,M01AB,3.33
2014,4,276,Wednesday,M01AB,4.34
2014,5,276,Thursday,M01AB,0.0
2014,5,276,Friday,M01AB,7.34
2014,5,276,Saturday,M01AB,4.0
2014,5,276,Sunday,M01AB,1.67
2014,5,276,Monday,M01AB,3.0
2014,5,276,Tuesday,M01AB,7.34
2014,5,276,Wednesday,M01AB,3.33
2014,5,276,Thursday,M01AB,2.0
2014,5,276,Friday,M01AB,2.0
2014,5,276,Saturday,M01AB,5.0
2014,5,276,Sunday,M01AB,2.0
2014,5,276,Monday,M01AB,4.34
2014,5,276,Tuesday,M01AB,3.68
2014,5,276,Wednesday,M01AB,1.0
2014,5,276,Thursday,M01AB,2.34
2014,5,276,Friday,M01AB,5.34
2014,5,276,Saturday,M01AB,2.34
2014,5,276,Sunday,M01AB,3.34
2014,5,276,Monday,M01AB,8.34
2014,5,276,Tuesday,M01AB,1.0
2014,5,276,Wednesday,M01AB,2.0
2014,5,276,Thursday,M01AB,3.68
2014,5,276,Friday,M01AB,5.0
2014,5,276,Saturday,M01AB,3.0
2014,5,276,Sunday,M01AB,2.0
2014,5,276,Monday,M01AB,2.68
2014,5,276,Tuesday,M01AB,0.0
2014,5,276,Wednesday,M01AB,1.34
2014,5,276,Thursday,M01AB,4.0
2014,5,276,Friday,M01AB,3.02
2014,5,276,Saturday,M01AB,5.67
2014,6,276,Sunday,M01AB,1.0
2014,6,276,Monday,M01AB,4.0
2014,6,276,Tuesday,M01AB,3.0
2014,6,276,Wednesday,M01AB,1.0
2014,6,276,Thursday,M01AB,0.34
2014,6,276,Friday,M01AB,5.0
2014,6,276,Saturday,M01AB,9.0
2014,6,276,Sunday,M01AB,1.0
2014,6,276,Monday,M01AB,6.33
